ID,companyName,contactName,contactTitle,address,city,country
bee4917d-393a-447e-9492-3714cd256a4a,Devify,Gerti Basset,Tax Accountant,4 Russell Drive,Jiji,CA
da2c192b-a7c3-4630-8c68-d5484211e9f5,Riffwire,Alia De Bischof,Environmental Specialist,730 Del Sol Pass,"Coruña, A",CA
c2669083-27d0-4c6f-ab39-82e467d77323,Skinder,Trixie McGuggy,Junior Executive,8339 Fieldstone Terrace,Padangbai,UK
e28460a7-7708-4d51-b3bd-f026a497ccdc,Twimm,Warner Fresson,Clinical Specialist,250 Pawling Alley,Longbu,US
0d33a1ab-e03e-47e2-9506-285dc13edd8c,Tagtune,Augustine Magenny,Operator,475 Brentwood Parkway,Niños Heroes,UK
aae53409-6c5b-4d75-b70a-2493bcc97532,Realbridge,Carol Gadesby,Design Engineer,795 Hallows Alley,Myanaung,MX
9b9e0b0c-2fa7-4026-a009-5b39f42ecd9e,Pixoboo,Silvain Jochanany,Quality Engineer,689 Nevada Point,Al Finţās,UK
7da84622-e109-4683-af36-fc46ca917551,Twinte,Bryanty Dorn,Financial Analyst,723 Cody Lane,Lousa,CA
4b36d44a-ccda-4b7f-a40c-2ed30c40f6a1,Kwinu,Nicola Kun,Geologist IV,2 Chive Plaza,Sioguí Abajo,MX
de79e325-2ed6-45d7-acd4-6f6f3a632c91,Cogibox,Giordano Putson,VP Product Management,95451 Scofield Trail,Malaga,UK
c2f91e54-5ad8-4cfd-8bd5-6ca374dcd777,Yozio,Amalee Gutch,Librarian,650 Dixon Junction,Hubei,MX
d29ed651-4a2a-49b7-b28a-82b440b8856f,Mynte,Ranice Hartwright,Engineer IV,29473 Holy Cross Center,Heshan,MX
b4eabb38-5081-4178-8843-5eedf4952d16,Zava,Lexie Farlam,Design Engineer,25769 Surrey Drive,Isiro,US
9628a858-028c-4ec2-9f05-8d2480c8149b,Ooba,Jordain Buckeridge,VP Product Management,98413 Memorial Avenue,Stare Kurowo,MX
a216e205-fc98-47f6-b737-7a2d2d711b8b,Viva,Morry Dufall,Nurse Practicioner,76588 Express Street,Črenšovci,US
7919873a-4de5-4183-8544-cf421a7ac029,Realcube,Anette Eplate,Computer Systems Analyst II,30 Westerfield Crossing,Adh Dhayd,US
2eb8263b-b066-4b07-be90-90d9a273e0e6,Voolia,Maynord Murra,Safety Technician II,028 Steensland Circle,Menlou,MX
17eaf3d1-8ed9-41f6-b045-5e69a0f5dfce,Chatterbridge,Fairleigh Flintiff,Computer Systems Analyst IV,7217 Pepper Wood Avenue,Corredoura,CA
97a025ad-ca87-4252-90c6-93b739b1699e,Browsecat,Pooh Crother,Office Assistant IV,2 Warrior Junction,Wangji,US
a593e5a5-a5ec-46b8-91a3-24e463059ec5,Myworks,Steffie Drillot,Cost Accountant,9 Kipling Plaza,Almafuerte,MX
c46b9556-6cdd-413e-a4b5-2df93117ed7f,Aimbo,Jillayne Heliet,Legal Assistant,89 8th Point,Antas,US
c75cad5b-b664-4394-b504-da1b76f6d7ec,Janyx,Lanie Goudy,Product Engineer,201 Twin Pines Avenue,Khandagayty,CA
9a838cc9-057f-4458-bbc3-4812be3e62e0,Devbug,Bernice Heisman,Senior Financial Analyst,07 Vermont Parkway,Xinning,US
d72df2ff-d935-4dc0-922d-fcbfc76dde5c,Gabtype,Sigismondo Babcock,Research Associate,7 Bonner Parkway,Ecroignard,UK
3f566944-651f-4f46-bced-bc2b98e33b7e,Eayo,Georgianne Pakeman,Director of Sales,7942 Oriole Circle,Santa Marcela,US
8c2c6249-ae47-4fcc-a296-120fd41d6515,Yotz,Anette Innett,Senior Sales Associate,7 Saint Paul Plaza,Babakandesa,US
33ab7c90-8287-45c4-87e2-0a198b87a19b,Bluejam,Van Cattermole,Computer Systems Analyst II,21358 Monterey Street,Kuantan,MX
9c483a48-48d6-4cf8-add0-5bddd293ebc3,Teklist,Susi Ashness,Staff Scientist,12179 Loftsgordon Street,Biograd na Moru,US
e03658bc-cb86-4e13-9e92-dd82c2c218b4,Yakidoo,Luisa Janew,Sales Representative,10 Farwell Terrace,Ponta Delgada,MX
1fb4523e-8e37-43b4-b5af-a4f8ef12fce9,Bubbletube,Alyse Corpes,Computer Systems Analyst III,3453 Quincy Junction,Sri Jayewardenepura Kotte,UK
875c20e5-473a-4366-928f-d17df911823e,Tambee,Val Crew,Environmental Tech,568 Washington Park,Kinnula,US
0760bc2e-6839-4a2e-8d15-f49bf7877d3d,Mynte,Chase Andrus,Programmer II,930 Farwell Hill,Zunilito,MX
be4347a2-95ce-4360-9603-4a2f707ae629,Realbridge,Margery Meeson,Payment Adjustment Coordinator,228 Browning Drive,Ozëry,US
b1d54196-827c-46ac-9504-980208b374ac,Topiczoom,Orelle Patley,Product Engineer,994 Blaine Park,Silvino Lobos,CA
6db3b108-1cce-48d8-826a-ad7915dc0450,Katz,Cole Doughton,Account Coordinator,4 Continental Circle,Heshan,UK
f78ca732-1e06-4995-bb80-70783b71767f,Yombu,Tripp Caren,Chief Design Engineer,4716 Swallow Way,Guanay,US
e708b996-95c4-4faf-85b2-d754273e0df2,Babblestorm,Lark Redbourn,Software Engineer IV,6 Marcy Lane,San Francisco de Macorís,MX
f02e431a-1b25-43aa-ae7b-34ad9bcfb3e8,Quimba,Mead Pickett,Marketing Manager,616 Randy Road,Remolino,US
77b0688e-fea2-47db-8c58-4b4a65a2a15f,Mycat,Reagen Eglin,Clinical Specialist,518 Prairieview Plaza,L-Iklin,UK
6bbb4422-2935-4f99-962d-0bae8037bf03,Jabberstorm,Alessandro Giffaut,Civil Engineer,8 Londonderry Hill,Slobidka,MX
980a9af7-1799-4d31-89a2-9ffa85879ef9,Youfeed,Cly Pengilly,Help Desk Technician,06386 Fisk Court,Ōarai,UK
00a4f17c-5743-49ed-8da7-00fffcdb1a9e,Jaxnation,Emilia Stell,Librarian,74852 Hintze Pass,Turku,MX
251c7a4e-c36d-44f5-aa4a-7eec9cfa5766,Browsetype,Dulci Goodricke,Director of Sales,5977 Express Way,Molepolole,CA
43266ea1-72cf-4ded-b839-16630babe40e,Zoozzy,Silvana Earry,Senior Editor,076 Muir Lane,Estancia,MX
dc58bfbb-5305-40ad-83bb-18613bd9cd06,Zoombeat,Brandyn Friar,Recruiter,61362 Charing Cross Way,Belén de los Andaquíes,UK
b085cc15-8119-4c2a-9f33-18016dcbda66,Skipfire,Elia Fouracre,Staff Accountant IV,7439 Pepper Wood Parkway,Dayr Abū Ḑa‘īf,MX
0376b741-2c31-4313-a88c-3e7e43df69e6,Feedmix,Matthaeus Dewitt,Compensation Analyst,03 Gina Crossing,Semeljci,UK
c17ef6b2-0055-4bc4-8fa8-3467e751ce84,Abata,Cristine Trehearne,Structural Analysis Engineer,7764 Parkside Way,Santa Maria,MX
311bf70f-9692-48ca-8316-230bf179ceac,Fiveclub,Junina Hennemann,Social Worker,35 Butterfield Street,Futaleufú,CA
3698c88f-84f8-415e-8a0f-dac1cc572b0f,Mymm,Kerstin Rudolfer,Office Assistant II,326 Thompson Way,Sundsvall,MX
c2133c5c-93fb-4ff1-ae68-01fb0457de9c,Tagopia,Zarla Gouldstone,Pharmacist,0 Warrior Trail,Shanban,UK
9ff7dd7d-1c5d-451e-9895-fe8199cb107a,Miboo,Udale Potapczuk,Budget/Accounting Analyst II,89 Scoville Crossing,Nogliki,CA
05145a7f-9a7b-4a39-bc05-7332489e8033,Rhynyx,Reginauld Tubbs,Assistant Manager,97341 Anniversary Court,Télimélé,MX
f99e671c-50b1-4faa-865e-431302de1c5e,Yakidoo,Alanson Potte,VP Sales,5711 Continental Place,Pawitan,US
152ebaeb-7df9-42cd-b528-96d623ece1ae,Thoughtstorm,Massimiliano Blackaller,Account Executive,84078 Beilfuss Place,Zhiqu,MX
239a5430-ff18-4700-b9b6-eb9e66199d83,Devify,Dalenna Wardhaw,Research Nurse,0392 Westend Lane,Sukawening,UK
8cf60011-09fc-49bc-a5fe-29b13bc4c624,Skaboo,Halsey Wingfield,Health Coach I,2 Glendale Pass,Placencia,CA
a7bd1c31-254e-410a-8c80-28db11132d30,Feedfish,Carlotta Fortin,Structural Analysis Engineer,19896 Cottonwood Park,Mnich,UK
0acb1c4b-d41e-487e-a33d-5b3631620469,Gigazoom,Claire Shaves,Sales Representative,4183 East Drive,Bzou,CA
cc66bb3c-8201-4d58-a8b8-935fd10e347c,Innojam,Juliane Rodriguez,General Manager,01 Myrtle Lane,Jamban,MX
7b6227f9-e2b0-444a-a25f-3135bc207e65,Kwinu,Inger Leel,Quality Engineer,75446 Norway Maple Point,Gondifelos,MX
b1077d6f-aa5e-4716-bbeb-be335407e946,Skinder,Margaret Murdoch,Systems Administrator I,84556 Hollow Ridge Alley,Costa de Rios Frios,US
306ff88a-573e-4663-9063-b9c302483209,Zoomlounge,Maryanna Epsly,Database Administrator IV,1 Sutteridge Lane,Bayt ‘Adhāqah,MX
1b8c29cb-d058-4cb5-8549-cdfb0a588617,Devpoint,Thoma Grafton,Environmental Specialist,35523 Schmedeman Pass,Chóra,CA
2deef611-2911-4d4b-9894-7c7174094c07,Browsebug,Tammi Elvin,Senior Developer,5 Spaight Center,Verenchanka,US
